Bereich,Artikel,Menge (bis 25 Teams),ca. Kosten,Notiz
Eröffnung – Mutter Stapeln,Holz-Rundstäbe dünn (~45 cm) oder Essstäbchen,25–28,–,"1 pro Team, mit Reserve"
Eröffnung – Mutter Stapeln,Sechskantmuttern einheitlich (z. B. M10),ca. 160,~14 €,"6 pro Team; gleiche Größe/Gewicht = fair"
Eröffnung – Mutter Stapeln,Nummerierte Fähnchen 1–25 + Kübel/Ständer,25,~10 €,"Zieleinlauf: Team zieht Fähnchen = Platzierung, bei Turnierleitung melden"
Eröffnung – Mutter Stapeln,Bierbänke/Tische als Stapelfläche,4–6,vorhanden?,alle Teams stapeln gleichzeitig
Eröffnung – Mutter Stapeln,Malerklebeband,2 Rollen,~5 €,Markierungen überall nutzbar (Backup Ziel-Reihenfolge)
Station 1 – Simon,Simon/Senso-Gerät (Handgerät),1–2,20–35 €/Stk,2 Stück = weniger Wartezeit
Station 1 – Simon,Batterien (meist AA) + Reserve,1 Satz,~8 €,Gerät vorab testen
Station 2 – Cornhole,Cornhole-Boards,2,0 €*,"*falls vorhanden – Ziele bei 5 m (1/3 Pkt) und 9 m (2/6 Pkt)"
Station 2 – Cornhole,Kleiner grüner Ring,1,~5 €,Ziel bei 4 m (2 Pkt)
Station 2 – Cornhole,Reifen,1,~5 €,Ziel bei 10 m (10 Pkt)
Station 2 – Cornhole,Maissäckchen (Bean Bags),8–16,–,Ziel vor jedem Wurf ansagen
Station 2 – Cornhole,Hütchen/Kreide + Maßband,1 Set,~10 €,Abwurflinie + Ziele bei 4 / 5 / 9 / 10 m markieren
Station 3 – Schwammstaffel,Autoschwämme groß,4–6,~5 €,Reserve wichtig
Station 3 – Schwammstaffel,Küchenwaage digital (bis 5 kg),1,~12 €,misst Wasser im Zielkübel (in Gramm)
Station 3 – Schwammstaffel,Eimer + Kübel,2,vorhanden?,Start voll Wasser / Ziel leer
Station 3 – Schwammstaffel,Slalom-Hütchen/-Stangen,4–6,~15 €,Parcours
Station 3 – Schwammstaffel,Limbo-Stange + Hürde,je 1,–,"„unten durch"" + „oben drüber"""
Station 3 – Schwammstaffel,Wasserkanister/Gartenschlauch,1,–,Nachfüllen
Station 3 – Schwammstaffel,Handtücher/Wischmopp,2–3,vorhanden?,Boden wird nass
Station 4 – Kazoomeister,Kazoos,25–35,~30 €,Hygiene: 1 pro Person/Team
Station 4 – Kazoomeister,Song-Kärtchen (aus 250-Songs-CSV),1 Set,~10 € Druck,drucken + laminieren + schneiden
Station 4 – Kazoomeister,Zieh-Box/Beutel,1,–,verdeckt ziehen
Station 4 – Kazoomeister,Desinfektionstücher,1 Pack,~4 €,Kazoos abwischen
Station 5 – Biathlon,Team-Ski (3-Personen-Gaudi-Ski),1–2,30–60 €,Bewegungsgefährt (WAHL)
Station 5 – Biathlon,ODER Bollerwagen/Alternative,1,vorhanden?,statt Team-Ski
Station 5 – Biathlon,Schießstand A: Leitergolf-Set,1,~25 €,Variante A
Station 5 – Biathlon,Schießstand B: Nerf-Pistole + Darts,1 + Reserve,~20 €,Variante B (Reserve-Darts!)
Station 5 – Biathlon,Gurken-Ziele (Gurken/Becher/Dosen),6–10,~5 €,Ziele zum Treffen
Station 5 – Biathlon,Hütchen (Strafrunde) + Streckenmarkierung,4–6,–,Strafrunde + Strecke
Station 6 – Wasserbomben,Wasserbomben mit Schnellfüller,500–1000,~15 €,Verbrauch hoch – lieber mehr!
Station 6 – Wasserbomben,Maßband lang (≥15 m) / Bodenmarkierung,1,~10 €,ab 3 m in 1-m-Schritten
Station 6 – Wasserbomben,Wasserversorgung + Handtücher,–,–,Nachfüllen + abtrocknen
Station 7 – Gurkerlglasl,Leere Gurkengläser (sauber),6–10,0 €,vorher aufessen :)
Station 7 – Gurkerlglasl,Tischtennisbälle,ca. 100,~10 €,"1 Min/Spieler, so viele Würfe wie möglich – Team sammelt Bälle ein"
Station 7 – Gurkerlglasl,Tisch/Fläche für Gläser,1,vorhanden?,Pyramide/Reihe aufstellen
Phase B – Riesen-Ringerl,Fußballtennis-/Badmintonnetz,1,0 €*,*vorhanden?
Phase B – Riesen-Ringerl,Softball/Volleyball (leicht),1–2,~10 €,mit jedem Körperteil spielbar
Phase B – Riesen-Ringerl,Feldlinien/Markierung,1 Set,–,Spielfeld abstecken
Phase B – Bälle Chaos,Bunte Plastikbälle (Bällebad),500–2000,15–60 €,je mehr desto besser
Phase B – Bälle Chaos,Goldene Bälle (3 Pkt),10–20,~8 €,golden sprühen o. kaufen
Phase B – Bälle Chaos,Augenbinden/Schlafmasken,25–28,~14 €,1 pro Team (Spieler A blind)
Phase B – Bälle Chaos,Feldabgrenzung (Absperrband/Planen/Hütchen),1 Set,~15 €,Feld klar begrenzen
Phase B – Bälle Chaos,Sammelkörbe/Kübel pro Team,25,~30 €,in Teamfarbe
Technik/Live-System,Beamer + Leinwand/weiße Wand (16:9),1,vorhanden?,Live-Anzeige & Reveal
Technik/Live-System,Laptop/Mini-PC + langes HDMI + Adapter,1,vorhanden?,Quelle für den Beamer
Technik/Live-System,Verlängerungskabel + Mehrfachstecker,2–3,~20 €,Outdoor-Strom
Technik/Live-System,Mobiler Hotspot/Router + Datenvolumen,1,–,für Realtime-Sync (WLAN)
Technik/Live-System,Koordinator-Handys,1 pro Station (~8–10),vorhanden,Score-Eingabe /score
Technik/Live-System,Powerbanks/Ladegeräte,5+,~40 €,Handys müssen durchhalten
Technik/Live-System,Ersatz-Stoppuhren,1 pro Station,~15 €,Backup zur App
Technik/Live-System,Klemmbretter + Stifte,8–10,~15 €,Notfall-Eingabe
Technik/Live-System,"Ausdrucke: Laufblätter, QR-Blätter, Notfall-Rangliste",1 Satz,~5 €,aus /admin drucken
Technik/Live-System,Flutlicht,–,vorhanden?,ab Dämmerung
Allgemein/Preise,Gurkerl Pass + 2 Joker-Karten pro Team,25 Sets,~14 €,drucken/laminieren
Allgemein/Preise,Station-Schilder (aus Admin-PDF drucken/laminieren),10,~10 €,je Spiel 1 Schild inkl. Phase B
